doi,title,abstract,author_keywords,authors,cited_by,journal,year,topics,all_topic_prop
10.1109/TPAMI.2022.3213473,Class-Incremental Learning: Survey and Performance Evaluation on Image Classification,"For future learning systems, incremental learning is desirable because it allows for: efficient resource usage by eliminating the need to retrain from scratch at the arrival of new data; reduced memory usage by preventing or limiting the amount of data required to be stored - also important when privacy limitations are imposed; and learning that more closely resembles human learning. The main challenge for incremental learning is catastrophic forgetting, which refers to the precipitous drop in performance on previously learned tasks after learning a new one. Incremental learning of deep neural networks has seen explosive growth in recent years. Initial work focused on task-incremental learning, where a task-ID is provided at inference time. Recently, we have seen a shift towards class-incremental learning where the learner must discriminate at inference time between all classes seen in previous tasks without recourse to a task-ID. In this paper, we provide a complete survey of existing class-incremental learning methods for image classification, and in particular, we perform an extensive experimental evaluation on thirteen class-incremental methods. We consider several new experimental scenarios, including a comparison of class-incremental methods on multiple large-scale image classification datasets, an investigation into small and large domain shifts, and a comparison of various network architectures.  ",catastrophic forgetting; Class-incremental learning; continual learning; incremental learning; lifelong learning,Masana M.; Liu X.; Twardowski B.; Menta M.; Bagdanov A.D.; Van De Weijer J.,407,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[17, 9, 12]","[0.12, 0.0, 0.0, 0.0, 0.0, 0.05, 0.05, 0.06, 0.04, 0.24, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0, 0.29, 0.0, 0.0]"
10.1109/TPAMI.2023.3290594,Towards Large-Scale Small Object Detection: Survey and Benchmarks,"With the rise of deep convolutional neural networks, object detection has achieved prominent advances in past years. However, such prosperity could not camouflage the unsatisfactory situation of Small Object Detection (SOD), one of the notoriously challenging tasks in computer vision, owing to the poor visual appearance and noisy representation caused by the intrinsic structure of small targets. In addition, large-scale dataset for benchmarking small object detection methods remains a bottleneck. In this paper, we first conduct a thorough review of small object detection. Then, to catalyze the development of SOD, we construct two large-scale Small Object Detection dAtasets (SODA), SODA-D and SODA-A, which focus on the Driving and Aerial scenarios respectively. SODA-D includes 24828 high-quality traffic images and 278433 instances of nine categories. For SODA-A, we harvest 2513 high resolution aerial images and annotate 872069 instances over nine classes. The proposed datasets, as we know, are the first-ever attempt to large-scale benchmarks with a vast collection of exhaustively annotated instances tailored for multi-category SOD. Finally, we evaluate the performance of mainstream methods on SODA. We expect the released benchmarks could facilitate the development of SOD and spawn more breakthroughs in this field.  ",Benchmark; convolutional neural networks; deep learning; object detection; small object detection,Cheng G.; Yuan X.; Yao X.; Yan K.; Zeng Q.; Xie X.; Han J.,398,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[11, 8, 7]","[0.05, 0.0, 0.0, 0.02, 0.01, 0.0, 0.0, 0.06, 0.07, 0.01, 0.03, 0.73, 0.0, 0.0, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.1109/TPAMI.2022.3204461,Image Super-Resolution via Iterative Refinement,"We present SR3, an approach to image Super-Resolution via Repeated Refinement. SR3 adapts denoising diffusion probabilistic models (Ho et al. 2020), (Sohl-Dickstein et al. 2015) to image-to-image translation, and performs super-resolution through a stochastic iterative denoising process. Output images are initialized with pure Gaussian noise and iteratively refined using a U-Net architecture that is trained on denoising at various noise levels, conditioned on a low-resolution input image. SR3 exhibits strong performance on super-resolution tasks at different magnification factors, on faces and natural images. We conduct human evaluation on a standard 8× face super-resolution task on CelebA-HQ for which SR3 achieves a fool rate close to 50%, suggesting photo-realistic outputs, while GAN baselines do not exceed a fool rate of 34%. We evaluate SR3 on a 4× super-resolution task on ImageNet, where SR3 outperforms baselines in human evaluation and classification accuracy of a ResNet-50 classifier trained on high-resolution images. We further show the effectiveness of SR3 in cascaded image generation, where a generative model is chained with super-resolution models to synthesize high-resolution images with competitive FID scores on the class-conditional 256×256 ImageNet generation challenge.  ",deep generative models; diffusion models; Image super-resolution,Saharia C.; Ho J.; Chan W.; Salimans T.; Fleet D.J.; Norouzi M.,1112,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[8, 7, 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.96, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.1109/TNNLS.2021.3107600,Adaptive Neural Network Control for a Class of Nonlinear Systems With Function Constraints on States,"In this article, the problem of tracking control for a class of nonlinear time-varying full state constrained systems is investigated. By constructing the time-varying asymmetric barrier Lyapunov function (BLF) and combining it with the backstepping algorithm, the intelligent controller and adaptive law are developed. Neural networks (NNs) are utilized to approximate the uncertain function. It is well known that in the past research of nonlinear systems with state constraints, the state constraint boundary is either a constant or a time-varying function. In this article, the constraint boundaries both related to state and time are investigated, which makes the design of control algorithm more complex and difficult. Furthermore, by employing the Lyapunov stability analysis, it is proven that all signals in the closed-loop system are bounded and the time-varying full state constraints are not violated. In the end, the effectiveness of the control algorithm is verified by numerical simulation.  ",Adaptive control; full state constraints; neural networks (NNs); nonlinear systems,Liu Y.-J.; Zhao W.; Liu L.; Li D.; Tong S.; Chen C.L.P.,255,IEEE Transactions on Neural Networks and Learning Systems,2023,"[1, 6, 15]","[0.0, 0.74, 0.0, 0.0, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0]"
10.1016/j.neucom.2023.02.010,RIME: A physics-based optimization,"This paper proposes an efficient optimization algorithm based on the physical phenomenon of rime-ice, called the RIME. The RIME algorithm implements the exploration and exploitation behaviors in the optimization methods by simulating the soft-rime and hard-rime growth process of rime-ice and constructing a soft-rime search strategy and a hard-rime puncture mechanism. Meanwhile, the greedy selection mechanism in the algorithm is improved, and the population is updated in the stage of selecting the optimal solution to enhance the exploitation capability of the RIME. In the experimental, this paper conducts qualitative analysis experiments on the RIME to clarify the characteristics of the algorithm in the process of finding the optimal solution. The performance of RIME is then tested on a total of 42 functions in the classic IEEE CEC2017 and the latest IEEE CEC2022 test sets. The proposed algorithm is compared with 10 well-established algorithms and 10 latest improved algorithms to verify its performance advantage. In addition, this paper designs experiments for the parametric analysis of RIME to discuss the potential of the algorithm in running different parameters and handling different problems. Finally, this paper applies RIME to five practical engineering problems to verify its effectiveness and superiority in real-world problems. The statistical and comparison results show that the RIME is a strong and competitive algorithm. The source code of the RIME1 algorithm and associated files are publicly accessible at https://aliasgharheidari.com/RIME.html. ",CEC2017; CEC2022; Engineering design problems; Genetic algorithm; Meta-heuristic; Metaheuristic; Nature-inspired computing; Optimization; Physics; RIME; Rime optimization algorithm; Swarm-intelligence,Su H.; Zhao D.; Heidari A.A.; Liu L.; Zhang X.; Mafarja M.; Chen H.,620,Neurocomputing,2023,"[15, 5, 19]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.97, 0.0, 0.0, 0.0, 0.01]"
10.1109/TPAMI.2022.3180556,MVSS-Net: Multi-View Multi-Scale Supervised Networks for Image Manipulation Detection,"As manipulating images by copy-move, splicing and/or inpainting may lead to misinterpretation of the visual content, detecting these sorts of manipulations is crucial for media forensics. Given the variety of possible attacks on the content, devising a generic method is nontrivial. Current deep learning based methods are promising when training and test data are well aligned, but perform poorly on independent tests. Moreover, due to the absence of authentic test images, their image-level detection specificity is in doubt. The key question is how to design and train a deep neural network capable of learning generalizable features sensitive to manipulations in novel data, whilst specific to prevent false alarms on the authentic. We propose multi-view feature learning to jointly exploit tampering boundary artifacts and the noise view of the input image. As both clues are meant to be semantic-agnostic, the learned features are thus generalizable. For effectively learning from authentic images, we train with multi-scale (pixel / edge / image) supervision. We term the new network MVSS-Net and its enhanced version MVSS-Net++. Experiments are conducted in both within-dataset and cross-dataset scenarios, showing that MVSS-Net++ performs the best, and exhibits better robustness against JPEG compression, Gaussian blur and screenshot based image re-capturing. ",Image manipulation detection; model sensitivity and specificity; multi-scale supervision; multi-view feature learning,Dong C.; Chen X.; Hu R.; Cao J.; Li X.,173,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[8, 4, 3]","[0.07, 0.0, 0.0, 0.1, 0.15, 0.0, 0.0, 0.02, 0.32, 0.02, 0.08, 0.08, 0.08, 0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.1109/TPAMI.2022.3164083,Contextual Transformer Networks for Visual Recognition,"Transformer with self-attention has led to the revolutionizing of natural language processing field, and recently inspires the emergence of Transformer-style architecture design with competitive results in numerous computer vision tasks. Nevertheless, most of existing designs directly employ self-attention over a 2D feature map to obtain the attention matrix based on pairs of isolated queries and keys at each spatial location, but leave the rich contexts among neighbor keys under-exploited. In this work, we design a novel Transformer-style module, i.e., Contextual Transformer (CoT) block, for visual recognition. Such design fully capitalizes on the contextual information among input keys to guide the learning of dynamic attention matrix and thus strengthens the capacity of visual representation. Technically, CoT block first contextually encodes input keys via a $3\times 3$3×3 convolution, leading to a static contextual representation of inputs. We further concatenate the encoded keys with input queries to learn the dynamic multi-head attention matrix through two consecutive $1\times 1$1×1 convolutions. The learnt attention matrix is multiplied by input values to achieve the dynamic contextual representation of inputs. The fusion of the static and dynamic contextual representations are finally taken as outputs. Our CoT block is appealing in the view that it can readily replace each $3\times 3$3×3 convolution in ResNet architectures, yielding a Transformer-style backbone named as Contextual Transformer Networks (CoTNet). Through extensive experiments over a wide range of applications (e.g., image recognition, object detection, instance segmentation, and semantic segmentation), we validate the superiority of CoTNet as a stronger backbone. Source code is available at https://github.com/JDAI-CV/CoTNet.  ",image recognition; self-attention; Transformer; vision transformer,Li Y.; Yao T.; Pan Y.; Mei T.,488,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[10, 3, 16]","[0.03, 0.03, 0.01, 0.28, 0.06, 0.0, 0.0, 0.1, 0.03, 0.0, 0.28, 0.06, 0.0, 0.0, 0.02, 0.0, 0.1, 0.0, 0.0, 0.0]"
10.1109/TPAMI.2021.3137605,A Comprehensive Survey of Scene Graphs: Generation and Application,"Scene graph is a structured representation of a scene that can clearly express the objects, attributes, and relationships between objects in the scene. As computer vision technology continues to develop, people are no longer satisfied with simply detecting and recognizing objects in images; instead, people look forward to a higher level of understanding and reasoning about visual scenes. For example, given an image, we want to not only detect and recognize objects in the image, but also understand the relationship between objects (visual relationship detection), and generate a text description (image captioning) based on the image content. Alternatively, we might want the machine to tell us what the little girl in the image is doing (Visual Question Answering (VQA)), or even remove the dog from the image and find similar images (image editing and retrieval), etc. These tasks require a higher level of understanding and reasoning for image vision tasks. The scene graph is just such a powerful tool for scene understanding. Therefore, scene graphs have attracted the attention of a large number of researchers, and related research is often cross-modal, complex, and rapidly developing. However, no relatively systematic survey of scene graphs exists at present. To this end, this survey conducts a comprehensive investigation of the current scene graph research. More specifically, we first summarize the general definition of the scene graph, then conducte a comprehensive and systematic discussion on the generation method of the scene graph (SGG) and the SGG with the aid of prior knowledge. We then investigate the main applications of scene graphs and summarize the most commonly used datasets. Finally, we provide some insights into the future development of scene graphs.  ",prior information; Scene graph; visual feature extraction; visual relationship recognition,Chang X.; Ren P.; Xu P.; Li Z.; Chen X.; Hauptmann A.,229,IEEE Transactions on Pattern Analysis and Machine Intelligence,2023,"[7, 2, 8]","[0.0, 0.0, 0.27, 0.0, 0.0, 0.0, 0.0, 0.29, 0.26, 0.0, 0.0, 0.08, 0.0, 0.0, 0.11, 0.0, 0.0, 0.0, 0.0, 0.0]"
10.1016/j.ins.2023.119000,An explainable deep learning-enabled intrusion detection framework in IoT networks,"Although the field of eXplainable Artificial Intelligence (XAI) has a significant interest these days, its implementation within cyber security applications still needs further investigation to understand its effectiveness in discovering attack surfaces and vectors. In cyber defence, especially anomaly-based Intrusion Detection Systems (IDS), the emerging applications of machine/deep learning models require the interpretation of the models' architecture and the explanation of models' prediction to examine how cyberattacks would occur. This paper proposes a novel explainable intrusion detection framework in the Internet of Things (IoT) networks. We have developed an IDS using a Short-Term Long Memory (LSTM) model to identify cyberattacks and explain the model's decisions. This uses a novel set of input features extracted by a novel SPIP (S: Shapley Additive exPlanations, P: Permutation Feature Importance, I: Individual Conditional Expectation, P: Partial Dependence Plot) framework to train and evaluate the LSTM model. The framework was validated using the NSL-KDD, UNSW-NB15 and TON_IoT datasets. The SPIP framework achieved high detection accuracy, processing time, and high interpretability of data features and model outputs compared with other peer techniques. The proposed framework has the potential to assist administrators and decision-makers in understanding complex attack behaviour. ",Artificial Intelligence (AI); Cyber defence; Explainable AI (XAI); Internet of Things (IoT); Intrusion Detection System (IDS),Keshk M.; Koroniotis N.; Pham N.; Moustafa N.; Turnbull B.; Zomaya A.Y.,124,Information Sciences,2023,"[11, 19, 13]","[0.09, 0.0, 0.0, 0.02, 0.0, 0.0, 0.07, 0.04, 0.0, 0.0, 0.0, 0.27, 0.1, 0.15, 0.0, 0.0, 0.03, 0.01, 0.06, 0.16]"
10.1145/3580305.3599400,Knowledge Graph Self-Supervised Rationalization for Recommendation,"In this paper, we introduce a new self-supervised rationalization method, called KGRec, for knowledge-aware recommender systems. To effectively identify informative knowledge connections, we propose an attentive knowledge rationalization mechanism that generates rational scores for knowledge triplets. With these scores, KGRec integrates generative and contrastive self-supervised tasks for recommendation through rational masking. To highlight rationales in the knowledge graph, we design a novel generative task in the form of masking-reconstructing. By masking important knowledge with high rational scores, KGRec is trained to rebuild and highlight useful knowledge connections that serve as rationales. To further rationalize the effect of collaborative interactions on knowledge graph learning, we introduce a contrastive learning task that aligns signals from knowledge and user-item interaction views. To ensure noise-resistant contrasting, potential noisy edges in both graphs judged by the rational scores are masked. Extensive experi-ments on three real-world datasets demonstrate that KGRec outperforms state-of-the-art methods. We also provide the implementation codes for our approach at https://github.com/HKUDS/KGRec.  ",knowledge graph; recommendation; self-supervised learning,Yang Y.; Huang C.; Xia L.; Huang C.,118,Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2023,"[17, 18, 2]","[0.0, 0.0, 0.14, 0.0, 0.01, 0.0, 0.0, 0.0, 0.01, 0.04, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.28, 0.0]"
